file	faded	balanced	dyn	sat_med	cast_mag	ch_spread
Image_20260301_0037.jpg	0.260182	0.743212	0.882353	0.000000	0.000010	0.000000
Image_20260301_0038.jpg	0.300000	0.708883	0.874510	0.000000	0.000012	0.000000
Image_20260301_0039.jpg	0.300000	0.708338	0.901961	0.000000	0.000008	0.000000
Image_20260301_0040.jpg	0.254343	0.747105	0.882353	0.000000	0.000010	0.000000
Image_20260301_0041.jpg	0.255986	0.746009	0.874510	0.000000	0.000012	0.000000
Image_20260301_0042.jpg	0.254180	0.747213	0.874510	0.000000	0.000009	0.000000
Image_20260301_0043.jpg	0.256253	0.745831	0.874510	0.000000	0.000010	0.000000
Image_20260301_0044.jpg	0.266023	0.739318	0.835294	0.000000	0.000010	0.000000
Image_20260301_0045.jpg	0.267262	0.738492	0.858824	0.000000	0.000010	0.000000
Image_20260301_0046.jpg	0.300000	0.700000	0.839216	0.000000	0.000011	0.000000
Image_20260301_0047.jpg	0.254607	0.746929	0.878431	0.000000	0.000007	0.000000
Image_20260301_0048.jpg	0.300000	0.700000	0.913725	0.000000	0.000008	0.000000
Image_20260301_0049.jpg	0.263515	0.740990	0.843137	0.000000	0.000012	0.000000
Image_20260301_0050.jpg	0.261063	0.742624	0.858824	0.000000	0.000008	0.000000
Image_20260301_0051.jpg	0.263680	0.740880	0.901961	0.000000	0.000006	0.000000
Image_20260301_0052.jpg	0.350000	0.750000	0.636897	0.337143	23.424023	0.193509
Image_20260301_0053.jpg	0.316454	0.757622	0.889054	0.246305	9.241450	0.088453
Image_20260301_0054.jpg	0.350000	0.740930	0.776107	0.231293	15.135828	0.150983
Image_20260301_0055.jpg	0.283535	0.716197	0.893248	0.133333	4.934944	0.049201
Image_20260301_0056.jpg	0.350020	0.749987	0.741304	0.589744	35.663018	0.424347
Image_20260301_0057.jpg	0.231247	0.766291	0.879522	0.074468	1.716875	0.018357
Image_20260301_0058.jpg	0.369402	0.737065	0.865442	0.425926	24.697822	0.214922
Image_20260301_0059.jpg	0.381052	0.687709	0.473866	0.572327	32.864606	0.337333
Image_20260301_0060.jpg	0.350000	0.750000	0.606977	0.379310	24.834408	0.209652
Image_20260301_0061.jpg	0.376524	0.693212	0.480593	0.525316	35.578646	0.377132
Image_20260301_0062.jpg	0.563351	0.437564	0.291982	0.125000	10.145908	0.081538
Image_20260301_0063.jpg	0.350000	0.750000	0.603633	0.424242	8.675115	0.199308
Image_20260301_0064.jpg	0.397173	0.668111	0.449914	0.401747	33.901215	0.303851
Image_20260301_0065.jpg	0.350000	0.750000	0.694408	0.301887	19.847241	0.220249
Image_20260301_0066.jpg	0.218595	0.799903	0.891812	0.275862	5.044175	0.073993
Image_20260301_0067.jpg	0.350000	0.750000	0.573426	0.471910	28.420834	0.300135
Image_20260301_0068.jpg	0.339091	0.678757	0.869121	0.166667	5.794148	0.106905
Image_20260301_0069.jpg	0.376130	0.694704	0.822314	0.186916	8.216358	0.110828
Image_20260301_0070.jpg	0.301956	0.717348	0.854747	0.200000	6.619870	0.090986
Image_20260301_0071.jpg	0.073498	0.910748	0.872501	0.207254	1.586017	0.015491
Image_20260301_0072.jpg	0.352148	0.748568	0.603073	0.529412	35.387231	0.407147
